ParticipantID,Task,NumFixations,FixationDuration_Sum,FixationDuration_Average,FixationDuration_StandardDeviation,Saccade_length_Sum,Saccade_length_Average,Saccade_length_StandardDeviation,Saccade_absolute_angle_Sum,Saccade_absolute_angle_Average,Saccade_absolute_angle_StandardDeviation,Saccade_relative_angle_Sum,Saccade_relative_angle_Average,Saccade_relative_angle_StandardDeviation,Question_AOI_NumberOfFixations,Question_AOI_FixationDurationSum,Question_AOI_FixationDurationMean,Question_AOI_LongestFixationInAOI,Question_AOI_ProportionOfTotalFixations,Question_AOI_ProportionOFTotalFixationDuration,Title_AOI_NumberOfFixations,Title_AOI_FixationDurationSum,Title_AOI_FixationDurationMean,Title_AOI_LongestFixationInAOI,Title_AOI_ProportionOfTotalFixations,Title_AOI_ProportionOFTotalFixationDuration,LabelBox_AOI_NumberOfFixations,LabelBox_AOI_FixationDurationSum,LabelBox_AOI_FixationDurationMean,LabelBox_AOI_LongestFixationInAOI,LabelBox_AOI_ProportionOfTotalFixations,LabelBox_AOI_ProportionOFTotalFixationDuration,OptionBox_AOI_NumberOfFixations,OptionBox_AOI_FixationDurationSum,OptionBox_AOI_FixationDurationMean,OptionBox_AOI_LongestFixationInAOI,OptionBox_AOI_ProportionOfTotalFixations,OptionBox_AOI_ProportionOFTotalFixationDuration,Answers_AOI_NumberOfFixations,Answers_AOI_FixationDurationSum,Answers_AOI_FixationDurationMean,Answers_AOI_LongestFixationInAOI,Answers_AOI_ProportionOfTotalFixations,Answers_AOI_ProportionOFTotalFixationDuration,XAxis_AOI_NumberOfFixations,XAxis_AOI_FixationDurationSum,XAxis_AOI_FixationDurationMean,XAxis_AOI_LongestFixationInAOI,XAxis_AOI_ProportionOfTotalFixations,XAxis_AOI_ProportionOFTotalFixationDuration,YAxis_AOI_NumberOfFixations,YAxis_AOI_FixationDurationSum,YAxis_AOI_FixationDurationMean,YAxis_AOI_LongestFixationInAOI,YAxis_AOI_ProportionOfTotalFixations,YAxis_AOI_ProportionOFTotalFixationDuration,Graph_AOI_NumberOfFixations,Graph_AOI_FixationDurationSum,Graph_AOI_FixationDurationMean,Graph_AOI_LongestFixationInAOI,Graph_AOI_ProportionOfTotalFixations,Graph_AOI_ProportionOFTotalFixationDuration,NoAOI_AOI_NumberOfFixations,NoAOI_AOI_FixationDurationSum,NoAOI_AOI_FixationDurationMean,NoAOI_AOI_LongestFixationInAOI,NoAOI_AOI_ProportionOfTotalFixations,NoAOI_AOI_ProportionOFTotalFixationDuration
7,DL11,47,8294,176.4680851,0,17994.3147,382.8577596,0,4304.521033,91.58555389,0,3355.86362,71.40135361,0,1,409,0,409,0.021276596,0.049312756,2,521,0,409,0.042553191,0.062816494,1,409,0,409,0.021276596,0.049312756,8,2513,0,791,0.170212766,0.302990113,4,864,0,409,0.085106383,0.10417169,1,409,0,409,0.021276596,0.049312756,1,409,0,409,0.021276596,0.049312756,16,2657,0,409,0.340425532,0.320352062,21,3375,0,440,0.446808511,0.406920666
7,DH5,79,14068,178.0759494,0,20211.70511,255.8443685,0,7299.46429,92.39828215,0,6213.795422,78.65563825,0,1,148,0,148,0.012658228,0.01052033,1,148,0,148,0.012658228,0.01052033,5,692,0,175,0.063291139,0.04918965,19,4052,0,618,0.240506329,0.288029571,5,920,0,243,0.063291139,0.065396645,1,148,0,148,0.012658228,0.01052033,1,148,0,148,0.012658228,0.01052033,36,5904,0,402,0.455696203,0.41967586,18,3092,0,358,0.227848101,0.219789593
7,CL3,9,2519,279.8888889,0,5015.348957,557.2609952,0,852.0858838,94.67620931,0,681.7547177,75.75052419,0,2,341,0,200,0.222222222,0.135371179,1,200,0,200,0.111111111,0.079396586,1,200,0,200,0.111111111,0.079396586,3,461,0,200,0.333333333,0.183009131,1,200,0,200,0.111111111,0.079396586,1,200,0,200,0.111111111,0.079396586,1,200,0,200,0.111111111,0.079396586,3,1468,0,751,0.333333333,0.582770941,4,849,0,311,0.444444444,0.337038507
7,CL11,22,4805,218.4090909,0,7058.858196,320.8571907,0,2244.393494,102.0178861,0,1600.890404,72.76774563,0,2,495,0,352,0.090909091,0.10301769,2,368,0,225,0.090909091,0.076586889,1,143,0,143,0.045454545,0.029760666,6,942,0,272,0.272727273,0.196045786,1,143,0,143,0.045454545,0.029760666,1,143,0,143,0.045454545,0.029760666,1,143,0,143,0.045454545,0.029760666,9,1750,0,526,0.409090909,0.364203954,7,1822,0,873,0.318181818,0.379188345
7,CH5,78,13999,179.474359,0,20451.69622,262.2012336,0,7026.559695,90.08409865,0,5202.844716,66.70313739,0,2,242,0,126,0.025641026,0.017286949,1,116,0,116,0.012820513,0.008286306,1,116,0,116,0.012820513,0.008286306,8,1688,0,410,0.102564103,0.120580041,17,3663,0,810,0.217948718,0.261661547,2,258,0,142,0.025641026,0.018429888,1,116,0,116,0.012820513,0.008286306,6,880,0,301,0.076923077,0.062861633,48,7848,0,409,0.615384615,0.560611472
7,CH8,83,16546,199.3493976,0,31244.93203,376.4449642,0,7041.425245,84.83644873,0,5713.416902,68.83634821,0,1,183,0,183,0.012048193,0.011060075,1,183,0,183,0.012048193,0.011060075,24,5106,0,683,0.289156627,0.308594222,11,3010,0,543,0.13253012,0.18191708,6,1156,0,313,0.072289157,0.069865829,2,301,0,183,0.024096386,0.018191708,1,183,0,183,0.012048193,0.011060075,34,6199,0,533,0.409638554,0.374652484,11,1689,0,203,0.13253012,0.102079052
7,DL5,39,7032,180.3076923,0,11747.37728,301.2148021,0,3214.013538,82.41060354,0,3303.226035,84.69810345,0,1,200,0,200,0.025641026,0.028441411,1,200,0,200,0.025641026,0.028441411,2,308,0,200,0.051282051,0.043799772,1,200,0,200,0.025641026,0.028441411,3,469,0,200,0.076923077,0.066695108,1,200,0,200,0.025641026,0.028441411,1,200,0,200,0.025641026,0.028441411,25,4914,0,758,0.641025641,0.698805461,12,1941,0,385,0.307692308,0.276023891
7,CL15,26,3857,148.3461538,0,8363.52443,321.6740165,0,2505.849819,96.37883918,0,2018.430721,77.63195082,0,1,108,0,108,0.038461538,0.028001037,1,108,0,108,0.038461538,0.028001037,1,108,0,108,0.038461538,0.028001037,1,108,0,108,0.038461538,0.028001037,2,374,0,266,0.076923077,0.096966554,1,108,0,108,0.038461538,0.028001037,1,108,0,108,0.038461538,0.028001037,11,1520,0,193,0.423076923,0.39408867,15,2179,0,279,0.576923077,0.56494685
7,CL7,38,7200,189.4736842,0,10875.95838,286.2094311,0,2797.375584,73.61514694,0,3568.549407,93.90919493,0,1,241,0,241,0.026315789,0.033472222,4,815,0,269,0.105263158,0.113194444,1,241,0,241,0.026315789,0.033472222,1,241,0,241,0.026315789,0.033472222,7,1460,0,332,0.184210526,0.202777778,1,241,0,241,0.026315789,0.033472222,1,241,0,241,0.026315789,0.033472222,7,1048,0,241,0.184210526,0.145555556,23,4600,0,949,0.605263158,0.638888889
7,CL9,20,3394,169.7,0,7997.924434,399.8962217,0,1884.277453,94.21387266,0,1379.914702,68.99573508,0,2,487,0,254,0.1,0.143488509,1,233,0,233,0.05,0.06865056,1,233,0,233,0.05,0.06865056,5,881,0,233,0.25,0.259575722,4,783,0,317,0.2,0.230701237,1,233,0,233,0.05,0.06865056,1,233,0,233,0.05,0.06865056,4,659,0,233,0.2,0.194166176,9,1516,0,258,0.45,0.446670595
