Participant,FixationDuration_Sum,FixationDuration_Average,FixationDuration_StandardDeviation,Saccade_length_Sum,Saccade_length_Average,Saccade_length_StandardDeviation,Saccade_absolute_angle_Sum,Saccade_absolute_angle_Average,Saccade_absolute_angle_StandardDeviation,Saccade_relative_angle_Sum,Saccade_relative_angle_Average,Saccade_relative_angle_StandardDeviation,TotalNumFixations,TotalNumFixationsInAOI,TotalProportionsOfFixationsInAOI,Question_AOI_NumberOfFixations,Question_AOI_FixationDurationSum,Question_AOI_FixationDurationMean,Question_AOI_LongestFixationInAOI,Question_AOI_ProportionOfTotalFixations,Question_AOI_ProportionOfTotalFixationDuration,Title_AOI_NumberOfFixations,Title_AOI_FixationDurationSum,Title_AOI_FixationDurationMean,Title_AOI_LongestFixationInAOI,Title_AOI_ProportionOfTotalFixations,Title_AOI_ProportionOfTotalFixationDuration,LabelBox_AOI_NumberOfFixations,LabelBox_AOI_FixationDurationSum,LabelBox_AOI_FixationDurationMean,LabelBox_AOI_LongestFixationInAOI,LabelBox_AOI_ProportionOfTotalFixations,LabelBox_AOI_ProportionOfTotalFixationDuration,OptionBox_AOI_NumberOfFixations,OptionBox_AOI_FixationDurationSum,OptionBox_AOI_FixationDurationMean,OptionBox_AOI_LongestFixationInAOI,OptionBox_AOI_ProportionOfTotalFixations,OptionBox_AOI_ProportionOfTotalFixationDuration,Answers_AOI_NumberOfFixations,Answers_AOI_FixationDurationSum,Answers_AOI_FixationDurationMean,Answers_AOI_LongestFixationInAOI,Answers_AOI_ProportionOfTotalFixations,Answers_AOI_ProportionOfTotalFixationDuration,XAxis_AOI_NumberOfFixations,XAxis_AOI_FixationDurationSum,XAxis_AOI_FixationDurationMean,XAxis_AOI_LongestFixationInAOI,XAxis_AOI_ProportionOfTotalFixations,XAxis_AOI_ProportionOfTotalFixationDuration,YAxis_AOI_NumberOfFixations,YAxis_AOI_FixationDurationSum,YAxis_AOI_FixationDurationMean,YAxis_AOI_LongestFixationInAOI,YAxis_AOI_ProportionOfTotalFixations,YAxis_AOI_ProportionOfTotalFixationDuration,Graph_AOI_NumberOfFixations,Graph_AOI_FixationDurationSum,Graph_AOI_FixationDurationMean,Graph_AOI_LongestFixationInAOI,Graph_AOI_ProportionOfTotalFixations,Graph_AOI_ProportionOfTotalFixationDuration
10,1308455,225.20740103270225,149.15172611917853,1044875.8985804409,179.8409463993874,227.98518453481324,448900.863916661,77.26348776534613,66.24043855858679,565751.626157131,97.37549503565079,63.45737250763709,4253,2490,0.5854690806489536,472,109496,231.9831,1407,0.11098,0.186801,85,20445,240.5294,875,0.019986,0.034879,302,80721,267.2881,1241,0.071009,0.137711,168,30277,180.2202,483,0.039502,0.051653,228,56632,248.386,1025,0.053609,0.096615,37,7581,204.8919,542,0.0087,0.012933,70,20060,286.5714,1259,0.016459,0.034223,1128,260952,231.3404,1608,0.265225,0.445186
11,369859,164.01729490022174,106.53937357305678,566634.296178206,251.27906704133304,286.0108474137236,180956.705954927,80.24687625495653,65.95131086659211,180475.24682091398,80.0333688784541,59.393218768557475,1338,542,0.40508221225710017,3,508,169.3333,241,0.002242,0.005775,20,2993,149.65,308,0.014948,0.034025,40,5944,148.6,262,0.029895,0.067572,62,9511,153.4032,308,0.046338,0.108121,71,11424,160.9014,730,0.053064,0.129868,9,1510,167.7778,299,0.006726,0.017166,25,3733,149.32,324,0.018685,0.042437,312,52343,167.766,1004,0.233184,0.595037
12,1731930,238.6893605292172,164.64957162429067,1331917.29959709,183.56081857732775,209.6548715332914,595658.42348358,82.09184447127619,68.56730159222748,652058.04822224,89.86467037241455,65.55835872702026,5392,3606,0.6687685459940653,695,151458,217.9252,1117,0.128895,0.164973,36,7934,220.3889,1162,0.006677,0.008642,321,88926,277.028,1322,0.059533,0.096861,275,69862,254.0436,1183,0.051001,0.076096,207,53167,256.8454,2042,0.03839,0.057911,88,17293,196.5114,840,0.01632,0.018836,48,13228,275.5833,1312,0.008902,0.014408,1936,516207,266.6358,2833,0.35905,0.562271
13,1146067,244.9908080376229,180.84260093449487,1047398.8601642479,223.89885852164343,229.09141768224185,424489.331862889,90.74162716179757,65.47911727799328,389941.015887565,83.35635226326741,61.90788478170749,3173,2057,0.6482823826032146,194,40010,206.2371,1037,0.061141,0.083649,40,8845,221.125,692,0.012606,0.018492,143,41615,291.014,1375,0.045068,0.087005,164,45250,275.9146,1915,0.051686,0.094605,20,4112,205.6,552,0.006303,0.008597,48,10653,221.9375,702,0.015128,0.022272,24,4739,197.4583,575,0.007564,0.009908,1424,323083,226.8841,2293,0.448787,0.675472
14,1978592,250.32793522267207,183.24967565585777,1802549.871203215,228.0553986846173,257.428147705367,627765.4857418281,79.42377096936085,66.40158104772853,736182.164321607,93.14045601234906,63.43462490808282,5859,4516,0.7707799965864482,1009,224986,222.9792,1100,0.172214,0.196119,65,16098,247.6615,1306,0.011094,0.014033,410,118322,288.5902,1275,0.069978,0.10314,354,102998,290.9548,1509,0.06042,0.089783,257,58098,226.0623,997,0.043864,0.050644,101,20032,198.3366,911,0.017238,0.017462,94,26176,278.4681,1349,0.016044,0.022817,2226,580484,260.7745,1532,0.379928,0.506003
16,1287269,198.46885599753315,126.09205874958496,1277156.310391943,196.9096994128805,239.669940033487,506588.78963587596,78.10496294108479,67.12429461399083,590225.880739881,90.99998161268593,63.9760457483724,4688,3544,0.7559726962457338,922,183768,199.3145,1026,0.196672,0.26254,46,10652,231.5652,1308,0.009812,0.015218,367,74891,204.0627,997,0.078285,0.106993,365,61877,169.526,973,0.077858,0.0884,112,20278,181.0536,1036,0.023891,0.02897,49,8375,170.9184,619,0.010452,0.011965,43,7884,183.3488,638,0.009172,0.011263,1640,332238,202.5841,1268,0.349829,0.474651
17,1439404,219.99144123490754,156.70500763934214,1180591.5579503998,180.43581811866113,234.2828909664453,602674.008948955,92.10973696300702,65.20652646773932,551487.798760404,84.28668787412563,60.031072827011656,4941,3538,0.7160493827160493,359,64832,180.5905,1004,0.072657,0.081785,40,8686,217.15,822,0.008096,0.010957,204,43762,214.5196,820,0.041287,0.055205,370,97010,262.1892,1558,0.074884,0.122377,206,46849,227.4223,1317,0.041692,0.059099,55,11445,208.0909,723,0.011131,0.014438,54,12012,222.4444,525,0.010929,0.015153,2250,508119,225.8307,1499,0.455373,0.640986
18,876852,231.78747026169705,184.13099681726231,851181.8594726571,225.00181323622974,252.56830744693545,318190.35219098104,84.11058741500952,60.852576773793245,315080.551469661,83.28854122909358,59.21154644809567,2982,2153,0.721998658618377,93,16498,177.3978,925,0.031187,0.032302,26,4592,176.6154,997,0.008719,0.008991,87,19823,227.8506,1061,0.029175,0.038812,286,86896,303.8322,2331,0.095909,0.170136,55,12110,220.1818,784,0.018444,0.023711,34,7284,214.2353,938,0.011402,0.014262,27,5647,209.1481,757,0.009054,0.011056,1545,357894,231.6466,1431,0.518109,0.700731
19,1426941,229.22746987951808,163.8671860864027,1297593.47864972,208.44875159031648,236.4485035117463,544419.059852661,87.45687708476481,65.78946495941487,535769.5261367441,86.06739375690668,62.54507175813308,4734,3460,0.7308829742289819,170,36271,213.3588,1026,0.03591,0.044335,22,4760,216.3636,917,0.004647,0.005818,206,46243,224.4806,1002,0.043515,0.056524,190,42110,221.6316,1264,0.040135,0.051472,182,44779,246.0385,1517,0.038445,0.054735,90,20316,225.7333,856,0.019011,0.024833,85,16033,188.6235,891,0.017955,0.019598,2515,607597,241.5893,1988,0.531263,0.742685
20,1762350,258.7125660598943,175.1240855481082,1255620.2966592498,184.32476462995447,200.72437984319401,609474.085999518,89.47065267168497,68.4805092785564,664659.9500459121,97.5719245516606,64.91678115182849,4943,3877,0.784341493020433,1125,232370,206.5511,891,0.227595,0.229688,22,4322,196.4545,785,0.004451,0.004272,298,90264,302.8993,1154,0.060287,0.089222,226,60324,266.9204,768,0.045721,0.059628,348,114523,329.0891,1549,0.070403,0.113201,138,34085,246.9928,1185,0.027918,0.033692,31,7298,235.4194,826,0.006271,0.007214,1689,468491,277.3777,2325,0.341695,0.463084
